iter	Logloss
0	0.6588202509
1	0.6297905363
2	0.6015038984
3	0.5736691705
4	0.5520720646
5	0.5307133773
6	0.5127055069
7	0.493131506
8	0.4756120484
9	0.4587863725
10	0.4454331562
11	0.430274503
12	0.4188579033
13	0.4065426794
14	0.3937338467
15	0.3826393917
16	0.3718340315
17	0.3631510899
18	0.3545761108
19	0.3494740848
20	0.341477427
21	0.3360513161
22	0.3300180764
23	0.3235996509
24	0.3178375178
25	0.3137132053
26	0.3093400824
27	0.30513599
28	0.3010904049
29	0.2975177107
30	0.2926435799
31	0.2889723942
32	0.2863272963
33	0.2840705082
34	0.2822088702
35	0.278908302
36	0.2765018858
37	0.2730134273
38	0.2705198814
39	0.2684047469
40	0.2661474655
41	0.2647435418
42	0.262741911
43	0.2610102358
44	0.2586327586
45	0.2575531335
46	0.2564536785
47	0.2550589463
48	0.2538332939
49	0.2517688028
50	0.2504569415
51	0.2487420049
52	0.2477629103
53	0.2469541944
54	0.2457395422
55	0.244922046
56	0.2442039292
57	0.2435409118
58	0.2430184463
59	0.2420863448
60	0.2412910133
61	0.2404172503
62	0.2393844868
63	0.2388342824
64	0.2378052021
65	0.236684865
66	0.2359609604
67	0.2353881967
68	0.2349113267
69	0.234184742
70	0.2334554606
71	0.2330460877
72	0.2326916497
73	0.2321687238
74	0.2314761918
75	0.2311084846
76	0.2305631966
77	0.2301788659
78	0.229740965
79	0.2294690362
80	0.2292156877
81	0.2287759945
82	0.228172812
83	0.2279039087
84	0.2274365918
85	0.2269797161
86	0.2267255948
87	0.2263075401
88	0.225759276
89	0.2256147286
90	0.225410593
91	0.2249764574
92	0.2248403944
93	0.2243993036
94	0.2239535102
95	0.2236858236
96	0.2233574966
97	0.2231696721
98	0.2229626754
99	0.2228220907
100	0.2225834748
101	0.2222225255
102	0.2219925091
103	0.2217038911
104	0.2213758436
105	0.221248824
106	0.2210108987
107	0.220692503
108	0.2203951704
109	0.220171468
110	0.219871669
111	0.2197564717
112	0.2194987823
113	0.2193726671
114	0.2192168729
115	0.2189901615
116	0.2189019631
117	0.2187138919
118	0.2184065786
119	0.2182244597
120	0.2180615129
121	0.2178675882
122	0.2176208989
123	0.2174516875
124	0.2172928843
125	0.2171755824
126	0.2170796559
127	0.2169380188
128	0.2168213746
129	0.2167251192
130	0.2165162646
131	0.2163505883
132	0.2161927059
133	0.2159785567
134	0.215722528
135	0.2156211426
136	0.2155212369
137	0.2153367832
138	0.2151543025
139	0.2150199824
140	0.2148538294
141	0.2147219757
142	0.2146477699
143	0.2145382454
144	0.2144091376
145	0.2143421173
146	0.214214884
147	0.2141203058
148	0.2140435515
149	0.2138864254
150	0.2138057906
151	0.2136271247
152	0.2135460788
153	0.2134439699
154	0.2133159966
155	0.2132099415
156	0.2131226967
157	0.2129325373
158	0.2127307037
159	0.2125269298
160	0.2124459826
161	0.212254294
162	0.2121847087
163	0.2120378264
164	0.2118598017
165	0.21178775
166	0.2117336865
167	0.2115405181
168	0.2113866148
169	0.2112825821
170	0.2112325471
171	0.2111890398
172	0.2110471068
173	0.211007891
174	0.2109262368
175	0.2107746354
176	0.2107128275
177	0.2106239056
178	0.2105410839
179	0.210512227
180	0.2103916037
181	0.2102705364
182	0.2101663557
183	0.2100937284
184	0.2099885283
185	0.2099380986
186	0.2098189222
187	0.2097745435
188	0.2096039016
189	0.20952205
190	0.2094121801
191	0.2093289145
192	0.2092858183
193	0.2092162823
194	0.2091249762
195	0.2089806918
196	0.2088536723
197	0.2087603109
198	0.2086708299
199	0.2086232613
200	0.2085770245
201	0.2084799142
202	0.2083927023
203	0.2083101601
204	0.2082485988
205	0.2081747713
206	0.2080805713
207	0.2079774922
208	0.2078699079
209	0.2077639678
210	0.2076697514
211	0.2076270005
212	0.2074549116
213	0.2073911798
214	0.2072899259
215	0.2071424682
216	0.2070756616
217	0.2069988251
218	0.2068733347
219	0.2067892798
220	0.2067280473
221	0.206513372
222	0.2064391169
223	0.2063992599
224	0.2063596166
225	0.20627104
226	0.2061824141
227	0.2061507784
228	0.2060739583
229	0.2059962338
230	0.2058713847
231	0.2058501244
232	0.2058118952
233	0.2057882835
234	0.205744546
235	0.2056782821
236	0.2056597512
237	0.2056077102
238	0.2055415285
239	0.2054864456
240	0.2054487261
241	0.2053539013
242	0.2053052968
243	0.2052013792
244	0.2050930221
245	0.2049167074
246	0.2048395749
247	0.2048003591
248	0.2046958167
249	0.2046722708
250	0.2046319041
251	0.204600663
252	0.2045693233
253	0.2044517912
254	0.2043833897
255	0.2043186714
256	0.2041882318
257	0.2040470715
258	0.2040372224
259	0.2039785714
260	0.2039166977
261	0.2038851771
262	0.2037556089
263	0.2037219508
264	0.2036928966
265	0.2036609321
266	0.2035902451
267	0.2035711223
268	0.2035541863
269	0.2035515062
270	0.203517848
271	0.2034834007
272	0.2033405468
273	0.2033126436
274	0.203240855
275	0.2031278775
276	0.2030316715
277	0.2030186324
278	0.2029570547
279	0.2029318152
280	0.2028712569
281	0.2028490593
282	0.2027911153
283	0.2027186361
284	0.2027004505
285	0.2026759016
286	0.2026339235
287	0.2025627925
288	0.2025433902
289	0.2025213242
290	0.2024883731
291	0.2024478419
292	0.2023443682
293	0.2022657723
294	0.2022269348
295	0.2021892153
296	0.2021661956
297	0.2021206165
298	0.2020700225
299	0.2020194613
300	0.2019313122
301	0.2018702277
302	0.2017734462
303	0.2016403428
304	0.2016161557
305	0.2015843391
306	0.2015149018
307	0.2014065775
308	0.2013121967
309	0.2012534306
310	0.2012047932
311	0.2011042463
312	0.2010545731
313	0.2009511323
314	0.200870629
315	0.2008323341
316	0.2007692107
317	0.2006657863
318	0.2006126272
319	0.2005527266
320	0.2004689348
321	0.2004443859
322	0.2004232571
323	0.2003770861
324	0.2003473413
325	0.2003343188
326	0.2002421412
327	0.2001408873
328	0.2000877775
329	0.1999871813
330	0.1999325588
331	0.1999189114
332	0.1998707344
333	0.1998375531
334	0.1997830292
335	0.1997407058
336	0.1996412606
337	0.1995867367
338	0.199547817
339	0.1994618383
340	0.1994206988
341	0.1993742976
342	0.199313394
343	0.199209131
344	0.1991274275
345	0.1990757317
346	0.1990236085
347	0.1989751027
348	0.1988920508
349	0.1988727471
350	0.1987869
351	0.1986957419
352	0.1986106018
353	0.1985847868
354	0.1984995809
355	0.1984620259
356	0.1984349284
357	0.1983754388
358	0.1983291034
359	0.198312743
360	0.1982971718
361	0.1982204832
362	0.1981381383
363	0.1980832199
364	0.1979938376
365	0.1979444109
366	0.1978801201
367	0.1978349357
368	0.1977921848
369	0.1976840249
370	0.1975862569
371	0.1974860553
372	0.1974043682
373	0.197363689
374	0.197260166
375	0.1971906465
376	0.1971454127
377	0.1970919576
378	0.1970555042
379	0.1970019341
380	0.1969166295
381	0.1968461892
382	0.1967476154
383	0.1967029572
384	0.1966121937
385	0.1965915088
386	0.1965207396
387	0.1964476684
388	0.196395019
389	0.1963435699
390	0.1963309584
391	0.1962267777
392	0.1961511743
393	0.1960311594
394	0.1959933248
395	0.1958815312
396	0.1958313317
397	0.1957715626
398	0.1957331526
399	0.1957003166
400	0.1956198627
401	0.195521404
402	0.1954010766
403	0.1953130262
404	0.1952482256
405	0.195186171
406	0.1950832071
407	0.1950282722
408	0.1949568124
409	0.1948868982
410	0.194759336
411	0.1946926117
412	0.1946135554
413	0.1945625174
414	0.1944777061
415	0.1944175589
416	0.1943757287
417	0.1943417253
418	0.1943004542
419	0.1942525403
420	0.1941771014
421	0.1940615753
422	0.1939802992
423	0.1939585949
424	0.1938835835
425	0.1938567819
426	0.1937607568
427	0.1936747288
428	0.1936329644
429	0.1935391755
430	0.1934806396
431	0.1933886429
432	0.1933398576
433	0.1932491105
434	0.1931426278
435	0.1930978216
436	0.1930102644
437	0.1929173963
438	0.1928491757
439	0.1927652523
440	0.1926855054
441	0.1926539684
442	0.19260492
443	0.1925090921
444	0.1925031892
445	0.1924334888
446	0.1923053676
447	0.1922501367
448	0.192173777
449	0.192116836
450	0.1920565572
451	0.1919915101
452	0.1919277454
453	0.1918374094
454	0.1917680707
455	0.1916478091
456	0.1916018519
457	0.1915427076
458	0.191464457
459	0.1914068419
460	0.1913285091
461	0.1912151205
462	0.1911388923
463	0.1910718063
464	0.1910050655
465	0.190953748
466	0.1908896874
467	0.1908123411
468	0.1907225642
469	0.1906307319
470	0.1905649119
471	0.1904343408
472	0.190350105
473	0.1902758993
474	0.1902270153
475	0.1901528589
476	0.1900855755
477	0.1900350965
478	0.1899611703
479	0.1899066136
480	0.1898331807
481	0.1897506549
482	0.189688255
483	0.1896158416
484	0.1895477854
485	0.1895063006
486	0.1894508888
487	0.1894038957
488	0.1893508517
489	0.1892979721
490	0.1892411462
491	0.1891854714
492	0.1891346635
493	0.1891020413
494	0.189037323
495	0.1889912178
496	0.1889572308
497	0.1888286492
498	0.1887728264
499	0.188711561
500	0.1886438172
501	0.1885881095
502	0.1885071623
503	0.188436985
504	0.188349247
505	0.188288294
506	0.1882459706
507	0.1881920387
508	0.1881388303
509	0.1880921002
510	0.1880130439
511	0.1879398741
512	0.1878979946
513	0.1877896539
514	0.1877338804
515	0.1877108278
516	0.1876615163
517	0.1876302588
518	0.1875816543
519	0.1875244831
520	0.1874241993
521	0.1873043817
522	0.1871901545
523	0.1870815343
524	0.1869842595
525	0.1868657737
526	0.186827824
527	0.1867506422
528	0.186670254
529	0.1866064072
530	0.1865090502
531	0.1864350253
532	0.1863467282
533	0.1863100611
534	0.186233652
535	0.1861630473
536	0.1860594914
537	0.185980731
538	0.185897597
539	0.1858618342
540	0.1857764145
541	0.1856915046
542	0.1856263588
543	0.1855214382
544	0.1854673254
545	0.1853498262
546	0.1852552151
547	0.1852255361
548	0.1851781977
549	0.1851113089
550	0.1850586595
551	0.185021532
552	0.184957866
553	0.1848949399
